iso,country,age_sex_group,expat_pop,total_pop
678,Sao Tome and Principe,total,5400,58000
222,El Salvador,total,240000,3900000
534,Sint Maarten,total,25000,38000
748,Swaziland,total,37000,290000
796,Turks and Caicos Islands,total,18000,32000
148,Chad,total,47000,410000
768,Togo,total,120000,790000
764,Thailand,total,2900000,51000000
762,Tajikistan,total,47000,870000
626,Timor-Leste,total,99000,370000
795,Turkmenistan,total,4800,110000
788,Tunisia,total,420000,7400000
776,Tonga,total,6900,67000
792,Turkey,total,3000000,55000000
780,Trinidad and Tobago,total,88000,890000
798,Tuvalu,total,1100,5700
158,Taiwan,total,1200000,18000000
834,Tanzania,total,200000,4600000
804,Ukraine,total,590000,20000000
800,Uganda,total,260000,3100000
840,United States,total,26000000,230000000
858,Uruguay,total,140000,2700000
860,Uzbekistan,total,110000,3900000
670,Saint Vincent and the Grenadines,total,7300,71000
862,Venezuela,total,500000,13000000
92,British Virgin Islands,total,13000,24000
850,US Virgin Islands,total,10000,29000
704,Vietnam,total,700000,63000000
548,Vanuatu,total,6300,95000
876,Wallis and Futuna,total,1400,5300
882,Samoa,total,12000,120000
983,Kosovo,total,62000,1000000
887,Yemen,total,220000,2900000
175,Mayotte,total,13000,80000
710,South Africa,total,2100000,22000000
894,Zambia,total,130000,2300000
716,Zimbabwe,total,54000,1300000
20,Andorra,male,9100,25000
784,United Arab Emirates,male,4700000,7000000
4,Afghanistan,male,160000,3300000
28,Antigua,male,9000,29000
660,Anguilla,male,2100,5200
8,Albania,male,43000,920000
51,Armenia,male,35000,780000
24,Angola,male,170000,1500000
32,Argentina,male,850000,16000000
16,American Samoa,male,4300,13000
40,Austria,male,370000,2200000
36,Australia,male,1500000,8000000
533,Aruba,male,15000,45000
31,Azerbaijan,male,100000,2600000
70,Bosnia and Herzegovina,male,64000,860000
52,Barbados,male,10000,88000
50,Bangladesh,male,700000,28000000
56,Belgium,male,460000,3800000
854,Burkina Faso,male,110000,1300000
100,Bulgaria,male,58000,1900000
48,Bahrain,male,500000,920000
108,Burundi,male,33000,390000
204,Benin,male,150000,910000
652,Saint Barthélemy,male,1400,2900
60,Bermuda,male,5400,20000
96,Brunei,male,79000,220000
68,Bolivia,male,220000,3800000
535,"Bonaire, Sint Eustatius and Saba",male,4300,9200
76,Brazil,male,870000,65000000
44,The Bahamas,male,20000,110000
64,Bhutan,male,18000,240000
72,Botswana,male,65000,520000
112,Belarus,male,82000,1400000
84,Belize,male,14000,110000
124,Canada,male,2000000,11000000
180,Democratic Republic of the Congo,male,150000,2200000
140,Central African Republic,male,15000,83000
178,Republic of the Congo,male,66000,470000
756,Switzerland,male,510000,2400000
384,Côte d'Ivoire,male,430000,3500000
184,Cook Islands,male,1800,5000
152,Chile,male,740000,7200000
120,Cameroon,male,180000,2300000
156,China,male,320000,1900000
170,Colombia,male,1200000,17000000
188,Costa Rica,male,190000,1800000
132,Cape Verde,male,19000,130000
531,Curaçao,male,13000,54000
196,Cyprus,male,110000,530000
203,Czech Republic,male,170000,2800000
276,Germany,male,2100000,19000000
262,Djibouti,male,28000,140000
208,Denmark,male,160000,2000000
212,Dominica,male,4400,20000
214,Dominican Republic,male,330000,3200000
12,Algeria,male,1100000,14000000
218,Ecuador,male,420000,6600000
233,Estonia,male,13000,350000
818,Egypt,male,970000,27000000
724,Spain,male,1500000,14000000
231,Ethiopia,male,290000,4700000
246,Finland,male,83000,1500000
242,Fiji,male,26000,280000
238,Falkland Islands,male,1000,1600
583,Federated States of Micronesia,male,2800,17000
234,Faroe Islands,male,1100,19000
250,France,male,2000000,19000000
266,Gabon,male,120000,450000
826,United Kingdom,male,2100000,24000000
308,Grenada,male,4700,34000
268,Georgia,male,65000,1400000
254,French Guiana,male,15000,60000
831,Guernsey,male,3900,19000
288,Ghana,male,350000,4300000
292,Gibraltar,male,2400,12000
304,Greenland,male,1600,20000
270,The Gambia,male,65000,260000
324,Guinea,male,75000,970000
312,Guadeloupe,male,17000,110000
226,Equatorial Guinea,male,30000,75000
300,Greece,male,320000,3400000
320,Guatemala,male,200000,4200000
316,Guam,male,28000,70000
624,Guinea-Bissau,male,25000,160000
328,Guyana,male,19000,210000
344,Hong Kong,male,270000,2500000
340,Honduras,male,87000,2000000
191,Croatia,male,73000,1100000
332,Haiti,male,53000,1100000
348,Hungary,male,100000,2900000
360,Indonesia,male,1900000,81000000
372,Ireland,male,200000,1500000
376,Israel,male,440000,3000000
833,Isle Of Man,male,6700,27000
356,India,male,3600000,260000000
368,Iraq,male,780000,16000000
352,Iceland,male,15000,140000
380,Italy,male,1600000,19000000
832,Jersey,male,16000,34000
388,Jamaica,male,50000,640000
400,Jordan,male,590000,3300000
392,Japan,male,650000,20000000
404,Kenya,male,350000,5600000
417,Kyrgyzstan,male,43000,1300000
116,Cambodia,male,210000,5900000
296,Kiribati,male,1300,23000
174,Comoros,male,14000,110000
659,Saint Kitts and Nevis,male,4300,18000
410,South Korea,male,590000,11000000
414,Kuwait,male,1500000,2600000
136,Cayman Islands,male,15000,28000
398,Kazakhstan,male,120000,4300000
418,Laos,male,130000,1700000
422,Lebanon,male,550000,2100000
662,St. Lucia,male,5100,50000
438,Liechtenstein,male,1700,7200
144,Sri Lanka,male,110000,4500000
430,Liberia,male,44000,340000
426,Lesotho,male,19000,190000
440,Lithuania,male,20000,830000
442,Luxembourg,male,60000,200000
428,Latvia,male,14000,480000
434,Libya,male,570000,3300000
504,Morocco,male,710000,12000000
492,Monaco,male,1400,5300
498,Moldova,male,27000,660000
499,Montenegro,male,26000,210000
663,Saint Martin,male,3100,8500
450,Madagascar,male,36000,1400000
584,Marshall Islands,male,1800,10000
807,Macedonia,male,43000,630000
466,Mali,male,160000,1400000
104,Myanmar,male,530000,15000000
496,Mongolia,male,32000,1100000
446,Macau,male,49000,180000
580,Northern Mariana Islands,male,8300,17000
474,Martinique,male,13000,100000
478,Mauritania,male,81000,530000
500,Montserrat,male,1000,1300
470,Malta,male,39000,210000
480,Mauritius,male,62000,460000
462,Maldives,male,88000,230000
454,Malawi,male,28000,380000
484,Mexico,male,1800000,44000000
458,Malaysia,male,1100000,14000000
508,Mozambique,male,110000,1400000
516,Namibia,male,25000,380000
540,New Caledonia,male,17000,84000
562,Niger,male,63000,420000
566,Nigeria,male,1000000,18000000
558,Nicaragua,male,75000,1600000
528,Netherlands,male,470000,5400000
578,Norway,male,190000,1800000
524,Nepal,male,390000,6700000
520,Nauru,male,2700,4100
554,New Zealand,male,340000,1600000
512,Oman,male,900000,2000000
591,Panama,male,140000,1300000
604,Peru,male,710000,13000000
258,French Polynesia,male,11000,88000
598,Papua New Guinea,male,29000,490000
608,Philippines,male,1200000,37000000
586,Pakistan,male,1200000,31000000
616,Poland,male,240000,8800000
630,Puerto Rico,male,71000,920000
275,Palestine,male,230000,1400000
620,Portugal,male,290000,3500000
585,Palau,male,4200,8800
600,Paraguay,male,110000,2000000
634,Qatar,male,1500000,2100000
638,Réunion,male,40000,280000
642,Romania,male,120000,5500000
688,Serbia,male,200000,1900000
643,Russia,male,1700000,24000000
646,Rwanda,male,54000,480000
682,Saudi Arabia,male,2700000,17000000
90,Solomon Islands,male,5700,59000
690,Seychelles,male,14000,37000
752,Sweden,male,410000,3600000
702,Singapore,male,850000,2300000
705,Slovenia,male,61000,570000
703,Slovakia,male,52000,1400000
694,Sierra Leone,male,38000,460000
674,San Marino,male,3700,7000
686,Senegal,male,210000,2200000
706,Somalia,male,160000,1100000
740,Suriname,male,25000,180000
728,South Sudan,male,74000,300000
678,Sao Tome and Principe,male,3500,32000
222,El Salvador,male,130000,1900000
534,Sint Maarten,male,12000,19000
748,Swaziland,male,19000,160000
796,Turks and Caicos Islands,male,10000,17000
148,Chad,male,36000,320000
768,Togo,male,85000,550000
764,Thailand,male,1600000,26000000
762,Tajikistan,male,39000,670000
626,Timor-Leste,male,59000,210000
795,Turkmenistan,male,2600,58000
788,Tunisia,male,260000,4200000
776,Tonga,male,3200,31000
792,Turkey,male,2100000,33000000
780,Trinidad and Tobago,male,47000,430000
798,Tuvalu,male,1000,2900
158,Taiwan,male,530000,9300000
834,Tanzania,male,140000,2800000
804,Ukraine,male,280000,8600000
800,Uganda,male,170000,1800000
840,United States,male,13000000,100000000
858,Uruguay,male,73000,1200000
860,Uzbekistan,male,79000,2700000
670,Saint Vincent and the Grenadines,male,3700,33000
862,Venezuela,male,230000,5600000
92,British Virgin Islands,male,6800,12000
850,US Virgin Islands,male,4300,12000
704,Vietnam,male,380000,32000000
548,Vanuatu,male,3600,49000
876,Wallis and Futuna,male,1000,2200
882,Samoa,male,5800,58000
983,Kosovo,male,41000,610000
887,Yemen,male,170000,2500000
175,Mayotte,male,7200,42000
710,South Africa,male,1300000,11000000
894,Zambia,male,90000,1300000
716,Zimbabwe,male,33000,720000
20,Andorra,female,10000,27000
784,United Arab Emirates,female,1600000,3000000
4,Afghanistan,female,46000,700000
28,Antigua,female,11000,34000
660,Anguilla,female,2200,5700
8,Albania,female,17000,580000
51,Armenia,female,34000,830000
24,Angola,female,100000,1100000
32,Argentina,female,830000,18000000
16,American Samoa,female,4500,16000
40,Austria,female,320000,2300000
36,Australia,female,1500000,9000000
533,Aruba,female,17000,51000
31,Azerbaijan,female,48000,1400000
70,Bosnia and Herzegovina,female,47000,820000
52,Barbados,female,12000,100000
50,Bangladesh,female,250000,12000000
56,Belgium,female,390000,3900000
854,Burkina Faso,female,47000,520000
100,Bulgaria,female,48000,2100000
48,Bahrain,female,170000,480000
108,Burundi,female,17000,190000
204,Benin,female,77000,440000
652,Saint Barthélemy,female,1100,2500
60,Bermuda,female,5200,24000
96,Brunei,female,44000,190000
68,Bolivia,female,170000,3300000
535,"Bonaire, Sint Eustatius and Saba",female,4200,9700
76,Brazil,female,650000,76000000
44,The Bahamas,female,16000,130000
64,Bhutan,female,7500,200000
72,Botswana,female,54000,510000
112,Belarus,female,97000,2100000
84,Belize,female,13000,120000
124,Canada,female,2000000,13000000
180,Democratic Republic of the Congo,female,56000,1300000
140,Central African Republic,female,4000,41000
178,Republic of the Congo,female,32000,310000
756,Switzerland,female,480000,2400000
384,Côte d'Ivoire,female,180000,1900000
184,Cook Islands,female,1900,5600
152,Chile,female,640000,7700000
120,Cameroon,female,75000,1600000
156,China,female,270000,1500000
170,Colombia,female,1100000,18000000
188,Costa Rica,female,170000,1800000
132,Cape Verde,female,14000,130000
531,Curaçao,female,17000,67000
196,Cyprus,female,98000,500000
203,Czech Republic,female,140000,3100000
276,Germany,female,1600000,19000000
262,Djibouti,female,17000,95000
208,Denmark,female,150000,2100000
212,Dominica,female,2800,20000
214,Dominican Republic,female,230000,3200000
12,Algeria,female,460000,8500000
218,Ecuador,female,340000,6200000
233,Estonia,female,11000,430000
818,Egypt,female,440000,16000000
724,Spain,female,1600000,18000000
231,Ethiopia,female,140000,2300000
246,Finland,female,72000,1700000
242,Fiji,female,21000,270000
238,Falkland Islands,female,1000,1300
583,Federated States of Micronesia,female,2400,20000
234,Faroe Islands,female,1000,19000
250,France,female,1600000,21000000
266,Gabon,female,50000,330000
826,United Kingdom,female,2000000,24000000
308,Grenada,female,4400,35000
268,Georgia,female,54000,1500000
254,French Guiana,female,16000,63000
831,Guernsey,female,4400,22000
288,Ghana,female,160000,2800000
292,Gibraltar,female,2300,13000
304,Greenland,female,1000,20000
270,The Gambia,female,31000,130000
324,Guinea,female,35000,610000
312,Guadeloupe,female,20000,120000
226,Equatorial Guinea,female,11000,43000
300,Greece,female,240000,3200000
320,Guatemala,female,140000,3700000
316,Guam,female,26000,75000
624,Guinea-Bissau,female,10000,95000
328,Guyana,female,17000,240000
344,Hong Kong,female,650000,3100000
340,Honduras,female,73000,2100000
191,Croatia,female,62000,1100000
332,Haiti,female,33000,960000
348,Hungary,female,91000,3400000
360,Indonesia,female,1300000,66000000
372,Ireland,female,200000,1800000
376,Israel,female,390000,2800000
833,Isle Of Man,female,7600,30000
356,India,female,1100000,88000000
368,Iraq,female,280000,6500000
352,Iceland,female,13000,140000
380,Italy,female,1400000,20000000
832,Jersey,female,18000,38000
388,Jamaica,female,38000,760000
400,Jordan,female,400000,2400000
392,Japan,female,620000,25000000
404,Kenya,female,230000,4200000
417,Kyrgyzstan,female,32000,1300000
116,Cambodia,female,140000,4500000
296,Kiribati,female,1000,23000
174,Comoros,female,6100,69000
659,Saint Kitts and Nevis,female,4300,19000
410,South Korea,female,450000,10000000
414,Kuwait,female,670000,1500000
136,Cayman Islands,female,14000,29000
398,Kazakhstan,female,110000,5800000
418,Laos,female,89000,1400000
422,Lebanon,female,310000,1700000
662,St. Lucia,female,4700,55000
438,Liechtenstein,female,1900,7600
144,Sri Lanka,female,45000,2500000
430,Liberia,female,21000,250000
426,Lesotho,female,21000,230000
440,Lithuania,female,15000,1000000
442,Luxembourg,female,57000,190000
428,Latvia,female,13000,590000
434,Libya,female,170000,2100000
504,Morocco,female,340000,7200000
492,Monaco,female,1800,6400
498,Moldova,female,29000,820000
499,Montenegro,female,24000,190000
663,Saint Martin,female,3700,9300
450,Madagascar,female,26000,1100000
584,Marshall Islands,female,1000,10000
807,Macedonia,female,26000,510000
466,Mali,female,67000,490000
104,Myanmar,female,310000,11000000
496,Mongolia,female,34000,1200000
446,Macau,female,69000,220000
580,Northern Mariana Islands,female,7300,18000
474,Martinique,female,15000,120000
478,Mauritania,female,32000,280000
500,Montserrat,female,1000,1500
470,Malta,female,24000,190000
480,Mauritius,female,29000,400000
462,Maldives,female,19000,130000
454,Malawi,female,12000,200000
484,Mexico,female,1500000,46000000
458,Malaysia,female,580000,12000000
508,Mozambique,female,53000,910000
516,Namibia,female,22000,380000
540,New Caledonia,female,18000,97000
562,Niger,female,19000,110000
566,Nigeria,female,540000,11000000
558,Nicaragua,female,64000,1500000
528,Netherlands,female,430000,5900000
578,Norway,female,180000,1900000
524,Nepal,female,180000,4500000
520,Nauru,female,2800,4000
554,New Zealand,female,330000,1800000
512,Oman,female,280000,870000
591,Panama,female,140000,1300000
604,Peru,female,530000,11000000
258,French Polynesia,female,11000,100000
598,Papua New Guinea,female,13000,310000
608,Philippines,female,1600000,41000000
586,Pakistan,female,340000,8700000
616,Poland,female,180000,10000000
630,Puerto Rico,female,85000,1100000
275,Palestine,female,190000,1200000
620,Portugal,female,290000,3900000
585,Palau,female,3000,8000
600,Paraguay,female,92000,1800000
634,Qatar,female,480000,820000
638,Réunion,female,39000,290000
642,Romania,female,81000,5600000
688,Serbia,female,180000,1900000
643,Russia,female,1300000,33000000
646,Rwanda,female,24000,250000
682,Saudi Arabia,female,880000,8800000
90,Solomon Islands,female,2500,47000
690,Seychelles,female,5700,32000
752,Sweden,female,360000,3800000
702,Singapore,female,720000,2200000
705,Slovenia,female,40000,560000
703,Slovakia,female,40000,1500000
694,Sierra Leone,female,20000,310000
674,San Marino,female,4000,7400
686,Senegal,female,110000,1200000
706,Somalia,female,76000,780000
740,Suriname,female,18000,170000
728,South Sudan,female,23000,100000
678,Sao Tome and Principe,female,1900,26000
222,El Salvador,female,110000,2000000
534,Sint Maarten,female,13000,19000
748,Swaziland,female,17000,140000
796,Turks and Caicos Islands,female,7500,15000
148,Chad,female,10000,85000
768,Togo,female,32000,230000
764,Thailand,female,1200000,26000000
762,Tajikistan,female,8800,210000
626,Timor-Leste,female,40000,160000
795,Turkmenistan,female,2200,53000
788,Tunisia,female,150000,3300000
776,Tonga,female,3600,36000
792,Turkey,female,920000,21000000
780,Trinidad and Tobago,female,41000,460000
798,Tuvalu,female,1000,2700
158,Taiwan,female,700000,9400000
834,Tanzania,female,62000,1900000
804,Ukraine,female,300000,12000000
800,Uganda,female,100000,1200000
840,United States,female,12000000,120000000
858,Uruguay,female,63000,1400000
860,Uzbekistan,female,33000,1200000
670,Saint Vincent and the Grenadines,female,3600,37000
862,Venezuela,female,260000,7000000
92,British Virgin Islands,female,6000,12000
850,US Virgin Islands,female,6000,17000
704,Vietnam,female,310000,31000000
548,Vanuatu,female,2700,47000
876,Wallis and Futuna,female,1000,3000
882,Samoa,female,6100,63000
983,Kosovo,female,21000,390000
887,Yemen,female,51000,460000
175,Mayotte,female,6300,38000
710,South Africa,female,780000,11000000
894,Zambia,female,44000,990000
716,Zimbabwe,female,2000,520000
20,Andorra,total_age0,1000,2400
784,United Arab Emirates,total_age0,110000,290000
4,Afghanistan,total_age0,21000,490000
28,Antigua,total_age0,1000,4500
660,Anguilla,total_age0,1000,1000
8,Albania,total_age0,2600,110000
51,Armenia,total_age0,4100,160000
24,Angola,total_age0,19000,350000
32,Argentina,total_age0,80000,2300000
16,American Samoa,total_age0,1000,5700
40,Austria,total_age0,11000,410000
36,Australia,total_age0,45000,1200000
533,Aruba,total_age0,1000,5400
31,Azerbaijan,total_age0,6700,370000
70,Bosnia and Herzegovina,total_age0,3900,110000
52,Barbados,total_age0,1000,11000
50,Bangladesh,total_age0,160000,8900000
56,Belgium,total_age0,17000,650000
854,Burkina Faso,total_age0,14000,200000
100,Bulgaria,total_age0,2900,280000
48,Bahrain,total_age0,14000,59000
108,Burundi,total_age0,6200,86000
204,Benin,total_age0,38000,250000
652,Saint Barthélemy,total_age0,1000,1000
60,Bermuda,total_age0,1000,1300
96,Brunei,total_age0,2900,28000
68,Bolivia,total_age0,86000,1300000
535,"Bonaire, Sint Eustatius and Saba",total_age0,1000,1000
76,Brazil,total_age0,140000,13000000
44,The Bahamas,total_age0,1000,16000
64,Bhutan,total_age0,3300,100000
72,Botswana,total_age0,7300,140000
112,Belarus,total_age0,14000,320000
84,Belize,total_age0,2000,38000
124,Canada,total_age0,55000,1100000
180,Democratic Republic of the Congo,total_age0,30000,500000
140,Central African Republic,total_age0,1300,13000
178,Republic of the Congo,total_age0,7300,110000
756,Switzerland,total_age0,9600,390000
384,Côte d'Ivoire,total_age0,58000,700000
184,Cook Islands,total_age0,1000,1400
152,Chile,total_age0,54000,800000
120,Cameroon,total_age0,26000,470000
156,China,total_age0,23000,270000
170,Colombia,total_age0,220000,3800000
188,Costa Rica,total_age0,21000,330000
132,Cape Verde,total_age0,3500,37000
531,Curaçao,total_age0,1000,6300
196,Cyprus,total_age0,4100,63000
203,Czech Republic,total_age0,5900,590000
276,Germany,total_age0,50000,3400000
262,Djibouti,total_age0,4800,43000
208,Denmark,total_age0,5600,400000
212,Dominica,total_age0,1000,2900
214,Dominican Republic,total_age0,48000,740000
12,Algeria,total_age0,200000,3300000
218,Ecuador,total_age0,81000,1800000
233,Estonia,total_age0,1000,69000
818,Egypt,total_age0,140000,7100000
724,Spain,total_age0,47000,1900000
231,Ethiopia,total_age0,26000,290000
246,Finland,total_age0,2300,340000
242,Fiji,total_age0,4600,77000
238,Falkland Islands,total_age0,1000,1000
583,Federated States of Micronesia,total_age0,1000,7700
234,Faroe Islands,total_age0,1000,2900
250,France,total_age0,58000,3400000
266,Gabon,total_age0,8000,110000
826,United Kingdom,total_age0,54000,3900000
308,Grenada,total_age0,1000,6100
268,Georgia,total_age0,6200,270000
254,French Guiana,total_age0,1300,20000
831,Guernsey,total_age0,1000,3200
288,Ghana,total_age0,71000,1100000
292,Gibraltar,total_age0,1000,1200
304,Greenland,total_age0,1000,4200
270,The Gambia,total_age0,7900,36000
324,Guinea,total_age0,14000,210000
312,Guadeloupe,total_age0,1000,23000
226,Equatorial Guinea,total_age0,1000,9700
300,Greece,total_age0,11000,430000
320,Guatemala,total_age0,63000,1600000
316,Guam,total_age0,1500,10000
624,Guinea-Bissau,total_age0,3400,29000
328,Guyana,total_age0,3900,59000
344,Hong Kong,total_age0,15000,180000
340,Honduras,total_age0,24000,700000
191,Croatia,total_age0,1600,160000
332,Haiti,total_age0,12000,290000
348,Hungary,total_age0,3200,410000
360,Indonesia,total_age0,680000,29000000
372,Ireland,total_age0,5200,280000
376,Israel,total_age0,30000,390000
833,Isle Of Man,total_age0,1000,5000
356,India,total_age0,550000,56000000
368,Iraq,total_age0,100000,3100000
352,Iceland,total_age0,1000,24000
380,Italy,total_age0,46000,2400000
832,Jersey,total_age0,1000,5300
388,Jamaica,total_age0,6500,130000
400,Jordan,total_age0,80000,770000
392,Japan,total_age0,24000,4500000
404,Kenya,total_age0,64000,1100000
417,Kyrgyzstan,total_age0,10000,490000
116,Cambodia,total_age0,40000,1600000
296,Kiribati,total_age0,1000,9400
174,Comoros,total_age0,3500,29000
659,Saint Kitts and Nevis,total_age0,1000,2500
410,South Korea,total_age0,17000,2300000
414,Kuwait,total_age0,38000,140000
136,Cayman Islands,total_age0,1000,1600
398,Kazakhstan,total_age0,20000,1200000
418,Laos,total_age0,32000,650000
422,Lebanon,total_age0,72000,410000
662,St. Lucia,total_age0,1000,7100
438,Liechtenstein,total_age0,1000,1000
144,Sri Lanka,total_age0,9500,860000
430,Liberia,total_age0,5900,77000
426,Lesotho,total_age0,6300,79000
440,Lithuania,total_age0,1500,130000
442,Luxembourg,total_age0,2200,29000
428,Latvia,total_age0,1000,97000
434,Libya,total_age0,55000,680000
504,Morocco,total_age0,140000,3300000
492,Monaco,total_age0,1000,1000
498,Moldova,total_age0,4200,170000
499,Montenegro,total_age0,1100,21000
663,Saint Martin,total_age0,1000,1300
450,Madagascar,total_age0,12000,590000
584,Marshall Islands,total_age0,1000,3300
807,Macedonia,total_age0,2500,66000
466,Mali,total_age0,19000,190000
104,Myanmar,total_age0,120000,4300000
496,Mongolia,total_age0,8500,300000
446,Macau,total_age0,1800,14000
580,Northern Mariana Islands,total_age0,1000,2900
474,Martinique,total_age0,1000,20000
