country_code,country_name,year,age_group,sex,migrant_pop,total_pop_2019,data_used,un_development_lvl,oecd_member,total_pop_2020
4,Afghanistan,2019,30-34,female,6138,1138037,B,Less Developed Regions,FALSE,1179138
4,Afghanistan,2019,35-39,female,5553,954327,B,Less Developed Regions,FALSE,988220
4,Afghanistan,2019,40-44,female,4838,758533,B,Less Developed Regions,FALSE,790703
4,Afghanistan,2019,45-49,female,4068,603870,B,Less Developed Regions,FALSE,627510
4,Afghanistan,2019,50-54,female,3223,485051.00000000006,B,Less Developed Regions,FALSE,503171
4,Afghanistan,2019,55-59,female,2401,382184.99999999994,B,Less Developed Regions,FALSE,396460
4,Afghanistan,2019,60-64,female,1478,296241,B,Less Developed Regions,FALSE,307557
4,Afghanistan,2019,65-69,female,515,223557.00000000003,B,Less Developed Regions,FALSE,229221
4,Afghanistan,2019,70-74,female,199,165093,B,Less Developed Regions,FALSE,172197
4,Afghanistan,2019,75+,female,222,144910,B,Less Developed Regions,FALSE,151453
4,Afghanistan,2019,Total,female,74788,18512030.000000004,B,Less Developed Regions,FALSE,18952076
4,Afghanistan,2017,0-4,both sexes,16828,5638782.999999999,B,Less Developed Regions,FALSE,5672509
4,Afghanistan,2017,5-9,both sexes,16135,5401913.999999999,B,Less Developed Regions,FALSE,5416223
4,Afghanistan,2017,10-14,both sexes,14548,5116500,B,Less Developed Regions,FALSE,5192114
4,Afghanistan,2017,15-19,both sexes,10725,4519175,B,Less Developed Regions,FALSE,4629445
4,Afghanistan,2017,20-24,both sexes,10150,3794633.0000000005,B,Less Developed Regions,FALSE,3926485
4,Afghanistan,2017,25-29,both sexes,10887,2984381.0000000005,B,Less Developed Regions,FALSE,3109386
4,Afghanistan,2017,30-34,both sexes,10982,2393883,B,Less Developed Regions,FALSE,2478259
4,Afghanistan,2017,35-39,both sexes,10333,1987591.0000000002,B,Less Developed Regions,FALSE,2056387.0000000002
4,Afghanistan,2017,40-44,both sexes,9287,1592929,B,Less Developed Regions,FALSE,1658723
4,Afghanistan,2017,45-49,both sexes,7949,1253563,B,Less Developed Regions,FALSE,1304736
4,Afghanistan,2017,50-54,both sexes,6305,995266.0000000001,B,Less Developed Regions,FALSE,1032358.9999999999
4,Afghanistan,2017,55-59,both sexes,4703,778503.9999999999,B,Less Developed Regions,FALSE,807839
4,Afghanistan,2017,60-64,both sexes,3009,589538,B,Less Developed Regions,FALSE,612638
4,Afghanistan,2017,65-69,both sexes,970,431247.00000000006,B,Less Developed Regions,FALSE,444858
4,Afghanistan,2017,70-74,both sexes,383,299794.99999999994,B,Less Developed Regions,FALSE,312451
4,Afghanistan,2017,75+,both sexes,418,264052,B,Less Developed Regions,FALSE,273929
4,Afghanistan,2017,Total,both sexes,133612,38041754.000000015,B,Less Developed Regions,FALSE,38928341
4,Afghanistan,2017,0-4,male,8511,2891330,B,Less Developed Regions,FALSE,2907406
4,Afghanistan,2017,5-9,male,7858,2765393,B,Less Developed Regions,FALSE,2774630
4,Afghanistan,2017,10-14,male,6800,2614937,B,Less Developed Regions,FALSE,2651664
4,Afghanistan,2017,15-19,male,4921,2321520,B,Less Developed Regions,FALSE,2377941
4,Afghanistan,2017,20-24,male,4706,1950650,B,Less Developed Regions,FALSE,2017279
4,Afghanistan,2017,25-29,male,5195,1551331.9999999998,B,Less Developed Regions,FALSE,1610796
4,Afghanistan,2017,30-34,male,5485,1255855,B,Less Developed Regions,FALSE,1299121
4,Afghanistan,2017,35-39,male,5359,1033268.9999999998,B,Less Developed Regions,FALSE,1068167
4,Afghanistan,2017,40-44,male,4955,834401.9999999999,B,Less Developed Regions,FALSE,868020
4,Afghanistan,2017,45-49,male,4310,649694.9999999999,B,Less Developed Regions,FALSE,677226
4,Afghanistan,2017,50-54,male,3424,510215.00000000006,B,Less Developed Regions,FALSE,529188
4,Afghanistan,2017,55-59,male,2560,396316.99999999994,B,Less Developed Regions,FALSE,411379
4,Afghanistan,2017,60-64,male,1697,293294,B,Less Developed Regions,FALSE,305081
4,Afghanistan,2017,65-69,male,528,207686.99999999997,B,Less Developed Regions,FALSE,215637
4,Afghanistan,2017,70-74,male,209,134696,B,Less Developed Regions,FALSE,140254
4,Afghanistan,2017,75+,male,220,119135,B,Less Developed Regions,FALSE,122476
4,Afghanistan,2017,Total,male,66738,19529727,B,Less Developed Regions,FALSE,19976265
4,Afghanistan,2017,0-4,female,8317,2747452,B,Less Developed Regions,FALSE,2765103
4,Afghanistan,2017,5-9,female,8277,2636519,B,Less Developed Regions,FALSE,2641593
4,Afghanistan,2017,10-14,female,7748,2501560,B,Less Developed Regions,FALSE,2540450
4,Afghanistan,2017,15-19,female,5804,2197654,B,Less Developed Regions,FALSE,2251504
4,Afghanistan,2017,20-24,female,5444,1843985,B,Less Developed Regions,FALSE,1909206
4,Afghanistan,2017,25-29,female,5692,1433056,B,Less Developed Regions,FALSE,1498590
4,Afghanistan,2017,30-34,female,5497,1138037,B,Less Developed Regions,FALSE,1179138
4,Afghanistan,2017,35-39,female,4974,954327,B,Less Developed Regions,FALSE,988220
4,Afghanistan,2017,40-44,female,4332,758533,B,Less Developed Regions,FALSE,790703
4,Afghanistan,2017,45-49,female,3639,603870,B,Less Developed Regions,FALSE,627510
4,Afghanistan,2017,50-54,female,2881,485051.00000000006,B,Less Developed Regions,FALSE,503171
4,Afghanistan,2017,55-59,female,2143,382184.99999999994,B,Less Developed Regions,FALSE,396460
4,Afghanistan,2017,60-64,female,1312,296241,B,Less Developed Regions,FALSE,307557
4,Afghanistan,2017,65-69,female,442,223557.00000000003,B,Less Developed Regions,FALSE,229221
4,Afghanistan,2017,70-74,female,174,165093,B,Less Developed Regions,FALSE,172197
4,Afghanistan,2017,75+,female,198,144910,B,Less Developed Regions,FALSE,151453
4,Afghanistan,2017,Total,female,66874,18512030.000000004,B,Less Developed Regions,FALSE,18952076
4,Afghanistan,2015,0-4,both sexes,22479,5638782.999999999,B,Less Developed Regions,FALSE,5672509
4,Afghanistan,2015,5-9,both sexes,25025,5401913.999999999,B,Less Developed Regions,FALSE,5416223
4,Afghanistan,2015,10-14,both sexes,27378,5116500,B,Less Developed Regions,FALSE,5192114
4,Afghanistan,2015,15-19,both sexes,32808,4519175,B,Less Developed Regions,FALSE,4629445
4,Afghanistan,2015,20-24,both sexes,39816,3794633.0000000005,B,Less Developed Regions,FALSE,3926485
4,Afghanistan,2015,25-29,both sexes,42762,2984381.0000000005,B,Less Developed Regions,FALSE,3109386
4,Afghanistan,2015,30-34,both sexes,41420,2393883,B,Less Developed Regions,FALSE,2478259
4,Afghanistan,2015,35-39,both sexes,37763,1987591.0000000002,B,Less Developed Regions,FALSE,2056387.0000000002
4,Afghanistan,2015,40-44,both sexes,31125,1592929,B,Less Developed Regions,FALSE,1658723
4,Afghanistan,2015,45-49,both sexes,24337,1253563,B,Less Developed Regions,FALSE,1304736
4,Afghanistan,2015,50-54,both sexes,18746,995266.0000000001,B,Less Developed Regions,FALSE,1032358.9999999999
4,Afghanistan,2015,55-59,both sexes,14902,778503.9999999999,B,Less Developed Regions,FALSE,807839
4,Afghanistan,2015,60-64,both sexes,12714,589538,B,Less Developed Regions,FALSE,612638
4,Afghanistan,2015,65-69,both sexes,5515,431247.00000000006,B,Less Developed Regions,FALSE,444858
4,Afghanistan,2015,70-74,both sexes,2202,299794.99999999994,B,Less Developed Regions,FALSE,312451
4,Afghanistan,2015,75+,both sexes,3373,264052,B,Less Developed Regions,FALSE,273929
4,Afghanistan,2015,Total,both sexes,382365,38041754.000000015,B,Less Developed Regions,FALSE,38928341
4,Afghanistan,2015,0-4,male,11315,2891330,B,Less Developed Regions,FALSE,2907406
4,Afghanistan,2015,5-9,male,11825,2765393,B,Less Developed Regions,FALSE,2774630
4,Afghanistan,2015,10-14,male,15287,2614937,B,Less Developed Regions,FALSE,2651664
4,Afghanistan,2015,15-19,male,15732,2321520,B,Less Developed Regions,FALSE,2377941
4,Afghanistan,2015,20-24,male,19208,1950650,B,Less Developed Regions,FALSE,2017279
4,Afghanistan,2015,25-29,male,20753,1551331.9999999998,B,Less Developed Regions,FALSE,1610796
4,Afghanistan,2015,30-34,male,20309,1255855,B,Less Developed Regions,FALSE,1299121
4,Afghanistan,2015,35-39,male,18696,1033268.9999999998,B,Less Developed Regions,FALSE,1068167
4,Afghanistan,2015,40-44,male,15530,834401.9999999999,B,Less Developed Regions,FALSE,868020
4,Afghanistan,2015,45-49,male,12202,649694.9999999999,B,Less Developed Regions,FALSE,677226
4,Afghanistan,2015,50-54,male,9448,510215.00000000006,B,Less Developed Regions,FALSE,529188
4,Afghanistan,2015,55-59,male,7576,396316.99999999994,B,Less Developed Regions,FALSE,411379
4,Afghanistan,2015,60-64,male,8169,293294,B,Less Developed Regions,FALSE,305081
4,Afghanistan,2015,65-69,male,3682,207686.99999999997,B,Less Developed Regions,FALSE,215637
4,Afghanistan,2015,70-74,male,1471,134696,B,Less Developed Regions,FALSE,140254
4,Afghanistan,2015,75+,male,2242,119135,B,Less Developed Regions,FALSE,122476
4,Afghanistan,2015,Total,male,193445,19529727,B,Less Developed Regions,FALSE,19976265
4,Afghanistan,2015,0-4,female,11164,2747452,B,Less Developed Regions,FALSE,2765103
4,Afghanistan,2015,5-9,female,13200,2636519,B,Less Developed Regions,FALSE,2641593
4,Afghanistan,2015,10-14,female,12091,2501560,B,Less Developed Regions,FALSE,2540450
4,Afghanistan,2015,15-19,female,17076,2197654,B,Less Developed Regions,FALSE,2251504
4,Afghanistan,2015,20-24,female,20608,1843985,B,Less Developed Regions,FALSE,1909206
4,Afghanistan,2015,25-29,female,22009,1433056,B,Less Developed Regions,FALSE,1498590
4,Afghanistan,2015,30-34,female,21111,1138037,B,Less Developed Regions,FALSE,1179138
4,Afghanistan,2015,35-39,female,19067,954327,B,Less Developed Regions,FALSE,988220
4,Afghanistan,2015,40-44,female,15595,758533,B,Less Developed Regions,FALSE,790703
4,Afghanistan,2015,45-49,female,12135,603870,B,Less Developed Regions,FALSE,627510
4,Afghanistan,2015,50-54,female,9298,485051.00000000006,B,Less Developed Regions,FALSE,503171
4,Afghanistan,2015,55-59,female,7326,382184.99999999994,B,Less Developed Regions,FALSE,396460
4,Afghanistan,2015,60-64,female,4545,296241,B,Less Developed Regions,FALSE,307557
4,Afghanistan,2015,65-69,female,1833,223557.00000000003,B,Less Developed Regions,FALSE,229221
4,Afghanistan,2015,70-74,female,731,165093,B,Less Developed Regions,FALSE,172197
4,Afghanistan,2015,75+,female,1131,144910,B,Less Developed Regions,FALSE,151453
4,Afghanistan,2015,Total,female,188920,18512030.000000004,B,Less Developed Regions,FALSE,18952076
8,Albania,2019,0-4,both sexes,9146,169051,B,More Developed Regions,FALSE,166278
8,Albania,2019,5-9,both sexes,6703,164865,B,More Developed Regions,FALSE,167554
8,Albania,2019,10-14,both sexes,5275,167350.99999999997,B,More Developed Regions,FALSE,162181
8,Albania,2019,15-19,both sexes,4844,207953,B,More Developed Regions,FALSE,199597
8,Albania,2019,20-24,both sexes,4190,235520,B,More Developed Regions,FALSE,228356
8,Albania,2019,25-29,both sexes,3815,246322.99999999997,B,More Developed Regions,FALSE,244323
8,Albania,2019,30-34,both sexes,3539,216013.00000000003,B,More Developed Regions,FALSE,223924
8,Albania,2019,35-39,both sexes,2235,161331,B,More Developed Regions,FALSE,166849
8,Albania,2019,40-44,both sexes,1718,155621,B,More Developed Regions,FALSE,152510
8,Albania,2019,45-49,both sexes,1244,174804,B,More Developed Regions,FALSE,170509
8,Albania,2019,50-54,both sexes,1036,189061.99999999997,B,More Developed Regions,FALSE,184185
8,Albania,2019,55-59,both sexes,878,203071,B,More Developed Regions,FALSE,201906
8,Albania,2019,60-64,both sexes,807,180786,B,More Developed Regions,FALSE,186459
8,Albania,2019,65-69,both sexes,651,137211,B,More Developed Regions,FALSE,143783
8,Albania,2019,70-74,both sexes,622,105487.00000000001,B,More Developed Regions,FALSE,108132
8,Albania,2019,75+,both sexes,2457,166468,B,More Developed Regions,FALSE,171254
8,Albania,2019,Total,both sexes,49160,2880917.0000000005,B,More Developed Regions,FALSE,2877800
8,Albania,2019,0-4,male,4807,88032,B,More Developed Regions,FALSE,86564
8,Albania,2019,5-9,male,3557,86777.99999999999,B,More Developed Regions,FALSE,87732
8,Albania,2019,10-14,male,2763,89882,B,More Developed Regions,FALSE,86957
8,Albania,2019,15-19,male,2591,109849,B,More Developed Regions,FALSE,106218
8,Albania,2019,20-24,male,2380,121178,B,More Developed Regions,FALSE,117374
8,Albania,2019,25-29,male,2004,131317,B,More Developed Regions,FALSE,129317
8,Albania,2019,30-34,male,1845,118634,B,More Developed Regions,FALSE,122633
8,Albania,2019,35-39,male,1171,86592,B,More Developed Regions,FALSE,90658
8,Albania,2019,40-44,male,891,76185,B,More Developed Regions,FALSE,75896
8,Albania,2019,45-49,male,621,82374.00000000001,B,More Developed Regions,FALSE,80264
8,Albania,2019,50-54,male,435,91429.99999999999,B,More Developed Regions,FALSE,88504
8,Albania,2019,55-59,male,293,99554,B,More Developed Regions,FALSE,98654
8,Albania,2019,60-64,male,286,88545,B,More Developed Regions,FALSE,91164
8,Albania,2019,65-69,male,277,66838,B,More Developed Regions,FALSE,69837
8,Albania,2019,70-74,male,237,51313,B,More Developed Regions,FALSE,52442
8,Albania,2019,75+,male,896,78284,B,More Developed Regions,FALSE,80500
8,Albania,2019,Total,male,25054,1466785.0000000005,B,More Developed Regions,FALSE,1464714
8,Albania,2019,0-4,female,4339,81021,B,More Developed Regions,FALSE,79714
8,Albania,2019,5-9,female,3146,78089,B,More Developed Regions,FALSE,79822
8,Albania,2019,10-14,female,2512,77471,B,More Developed Regions,FALSE,75224
8,Albania,2019,15-19,female,2253,98104.99999999999,B,More Developed Regions,FALSE,93379
8,Albania,2019,20-24,female,1810,114343,B,More Developed Regions,FALSE,110982
8,Albania,2019,25-29,female,1811,115008,B,More Developed Regions,FALSE,115006
8,Albania,2019,30-34,female,1694,97383,B,More Developed Regions,FALSE,101291
8,Albania,2019,35-39,female,1064,74741.00000000001,B,More Developed Regions,FALSE,76191
8,Albania,2019,40-44,female,827,79433,B,More Developed Regions,FALSE,76614
8,Albania,2019,45-49,female,623,92426.99999999999,B,More Developed Regions,FALSE,90245
8,Albania,2019,50-54,female,601,97630,B,More Developed Regions,FALSE,95681
8,Albania,2019,55-59,female,585,103514.99999999999,B,More Developed Regions,FALSE,103252
8,Albania,2019,60-64,female,521,92239,B,More Developed Regions,FALSE,95295
8,Albania,2019,65-69,female,374,70372,B,More Developed Regions,FALSE,73946
8,Albania,2019,70-74,female,385,54171,B,More Developed Regions,FALSE,55690
8,Albania,2019,75+,female,1561,88179.99999999999,B,More Developed Regions,FALSE,90754
8,Albania,2019,Total,female,24106,1414128.0000000005,B,More Developed Regions,FALSE,1413086
8,Albania,2017,0-4,both sexes,9553,169051,B,More Developed Regions,FALSE,166278
8,Albania,2017,5-9,both sexes,6999,164865,B,More Developed Regions,FALSE,167554
8,Albania,2017,10-14,both sexes,5315,167350.99999999997,B,More Developed Regions,FALSE,162181
8,Albania,2017,15-19,both sexes,4648,207953,B,More Developed Regions,FALSE,199597
8,Albania,2017,20-24,both sexes,4668,235520,B,More Developed Regions,FALSE,228356
8,Albania,2017,25-29,both sexes,4529,246322.99999999997,B,More Developed Regions,FALSE,244323
8,Albania,2017,30-34,both sexes,4313,216013.00000000003,B,More Developed Regions,FALSE,223924
8,Albania,2017,35-39,both sexes,3298,161331,B,More Developed Regions,FALSE,166849
8,Albania,2017,40-44,both sexes,2301,155621,B,More Developed Regions,FALSE,152510
8,Albania,2017,45-49,both sexes,1710,174804,B,More Developed Regions,FALSE,170509
8,Albania,2017,50-54,both sexes,1305,189061.99999999997,B,More Developed Regions,FALSE,184185
8,Albania,2017,55-59,both sexes,1037,203071,B,More Developed Regions,FALSE,201906
8,Albania,2017,60-64,both sexes,872,180786,B,More Developed Regions,FALSE,186459
8,Albania,2017,65-69,both sexes,722,137211,B,More Developed Regions,FALSE,143783
8,Albania,2017,70-74,both sexes,567,105487.00000000001,B,More Developed Regions,FALSE,108132
8,Albania,2017,75+,both sexes,647,166468,B,More Developed Regions,FALSE,171254
8,Albania,2017,Total,both sexes,52484,2880917.0000000005,B,More Developed Regions,FALSE,2877800
8,Albania,2017,0-4,male,4969,88032,B,More Developed Regions,FALSE,86564
8,Albania,2017,5-9,male,3676,86777.99999999999,B,More Developed Regions,FALSE,87732
8,Albania,2017,10-14,male,2755,89882,B,More Developed Regions,FALSE,86957
8,Albania,2017,15-19,male,2461,109849,B,More Developed Regions,FALSE,106218
8,Albania,2017,20-24,male,2628,121178,B,More Developed Regions,FALSE,117374
8,Albania,2017,25-29,male,2353,131317,B,More Developed Regions,FALSE,129317
8,Albania,2017,30-34,male,2224,118634,B,More Developed Regions,FALSE,122633
8,Albania,2017,35-39,male,1709,86592,B,More Developed Regions,FALSE,90658
8,Albania,2017,40-44,male,1180,76185,B,More Developed Regions,FALSE,75896
8,Albania,2017,45-49,male,843,82374.00000000001,B,More Developed Regions,FALSE,80264
8,Albania,2017,50-54,male,539,91429.99999999999,B,More Developed Regions,FALSE,88504
8,Albania,2017,55-59,male,338,99554,B,More Developed Regions,FALSE,98654
8,Albania,2017,60-64,male,303,88545,B,More Developed Regions,FALSE,91164
8,Albania,2017,65-69,male,302,66838,B,More Developed Regions,FALSE,69837
8,Albania,2017,70-74,male,213,51313,B,More Developed Regions,FALSE,52442
8,Albania,2017,75+,male,228,78284,B,More Developed Regions,FALSE,80500
8,Albania,2017,Total,male,26721,1466785.0000000005,B,More Developed Regions,FALSE,1464714
8,Albania,2017,0-4,female,4584,81021,B,More Developed Regions,FALSE,79714
8,Albania,2017,5-9,female,3323,78089,B,More Developed Regions,FALSE,79822
8,Albania,2017,10-14,female,2560,77471,B,More Developed Regions,FALSE,75224
8,Albania,2017,15-19,female,2187,98104.99999999999,B,More Developed Regions,FALSE,93379
8,Albania,2017,20-24,female,2040,114343,B,More Developed Regions,FALSE,110982
8,Albania,2017,25-29,female,2176,115008,B,More Developed Regions,FALSE,115006
8,Albania,2017,30-34,female,2089,97383,B,More Developed Regions,FALSE,101291
8,Albania,2017,35-39,female,1589,74741.00000000001,B,More Developed Regions,FALSE,76191
8,Albania,2017,40-44,female,1121,79433,B,More Developed Regions,FALSE,76614
8,Albania,2017,45-49,female,867,92426.99999999999,B,More Developed Regions,FALSE,90245
8,Albania,2017,50-54,female,766,97630,B,More Developed Regions,FALSE,95681
8,Albania,2017,55-59,female,699,103514.99999999999,B,More Developed Regions,FALSE,103252
8,Albania,2017,60-64,female,569,92239,B,More Developed Regions,FALSE,95295
8,Albania,2017,65-69,female,420,70372,B,More Developed Regions,FALSE,73946
8,Albania,2017,70-74,female,354,54171,B,More Developed Regions,FALSE,55690
8,Albania,2017,75+,female,419,88179.99999999999,B,More Developed Regions,FALSE,90754
8,Albania,2017,Total,female,25763,1414128.0000000005,B,More Developed Regions,FALSE,1413086
8,Albania,2015,0-4,both sexes,2993,169051,B,More Developed Regions,FALSE,166278
8,Albania,2015,5-9,both sexes,2470,164865,B,More Developed Regions,FALSE,167554
8,Albania,2015,10-14,both sexes,2421,167350.99999999997,B,More Developed Regions,FALSE,162181
8,Albania,2015,15-19,both sexes,1749,207953,B,More Developed Regions,FALSE,199597
8,Albania,2015,20-24,both sexes,2661,235520,B,More Developed Regions,FALSE,228356
8,Albania,2015,25-29,both sexes,4571,246322.99999999997,B,More Developed Regions,FALSE,244323
8,Albania,2015,30-34,both sexes,4035,216013.00000000003,B,More Developed Regions,FALSE,223924
8,Albania,2015,35-39,both sexes,4005,161331,B,More Developed Regions,FALSE,166849
8,Albania,2015,40-44,both sexes,3796,155621,B,More Developed Regions,FALSE,152510
8,Albania,2015,45-49,both sexes,3531,174804,B,More Developed Regions,FALSE,170509
8,Albania,2015,50-54,both sexes,3989,189061.99999999997,B,More Developed Regions,FALSE,184185
8,Albania,2015,55-59,both sexes,4514,203071,B,More Developed Regions,FALSE,201906
8,Albania,2015,60-64,both sexes,3708,180786,B,More Developed Regions,FALSE,186459
8,Albania,2015,65-69,both sexes,2948,137211,B,More Developed Regions,FALSE,143783
8,Albania,2015,70-74,both sexes,2376,105487.00000000001,B,More Developed Regions,FALSE,108132
8,Albania,2015,75+,both sexes,7849,166468,B,More Developed Regions,FALSE,171254
8,Albania,2015,Total,both sexes,57616,2880917.0000000005,B,More Developed Regions,FALSE,2877800
8,Albania,2015,0-4,male,1734,88032,B,More Developed Regions,FALSE,86564
8,Albania,2015,5-9,male,1440,86777.99999999999,B,More Developed Regions,FALSE,87732
8,Albania,2015,10-14,male,1409,89882,B,More Developed Regions,FALSE,86957
8,Albania,2015,15-19,male,1042,109849,B,More Developed Regions,FALSE,106218
8,Albania,2015,20-24,male,1651,121178,B,More Developed Regions,FALSE,117374
8,Albania,2015,25-29,male,2615,131317,B,More Developed Regions,FALSE,129317
8,Albania,2015,30-34,male,2298,118634,B,More Developed Regions,FALSE,122633
8,Albania,2015,35-39,male,2229,86592,B,More Developed Regions,FALSE,90658
8,Albania,2015,40-44,male,2081,76185,B,More Developed Regions,FALSE,75896
8,Albania,2015,45-49,male,1798,82374.00000000001,B,More Developed Regions,FALSE,80264
8,Albania,2015,50-54,male,1781,91429.99999999999,B,More Developed Regions,FALSE,88504
8,Albania,2015,55-59,male,1708,99554,B,More Developed Regions,FALSE,98654
8,Albania,2015,60-64,male,1574,88545,B,More Developed Regions,FALSE,91164
8,Albania,2015,65-69,male,1438,66838,B,More Developed Regions,FALSE,69837
8,Albania,2015,70-74,male,1008,51313,B,More Developed Regions,FALSE,52442
8,Albania,2015,75+,male,3557,78284,B,More Developed Regions,FALSE,80500
8,Albania,2015,Total,male,29363,1466785.0000000005,B,More Developed Regions,FALSE,1464714
8,Albania,2015,0-4,female,1259,81021,B,More Developed Regions,FALSE,79714
8,Albania,2015,5-9,female,1030,78089,B,More Developed Regions,FALSE,79822
8,Albania,2015,10-14,female,1012,77471,B,More Developed Regions,FALSE,75224
8,Albania,2015,15-19,female,707,98104.99999999999,B,More Developed Regions,FALSE,93379
8,Albania,2015,20-24,female,1010,114343,B,More Developed Regions,FALSE,110982
8,Albania,2015,25-29,female,1956,115008,B,More Developed Regions,FALSE,115006
8,Albania,2015,30-34,female,1737,97383,B,More Developed Regions,FALSE,101291
8,Albania,2015,35-39,female,1776,74741.00000000001,B,More Developed Regions,FALSE,76191
8,Albania,2015,40-44,female,1715,79433,B,More Developed Regions,FALSE,76614
8,Albania,2015,45-49,female,1733,92426.99999999999,B,More Developed Regions,FALSE,90245
8,Albania,2015,50-54,female,2208,97630,B,More Developed Regions,FALSE,95681
8,Albania,2015,55-59,female,2806,103514.99999999999,B,More Developed Regions,FALSE,103252
8,Albania,2015,60-64,female,2134,92239,B,More Developed Regions,FALSE,95295
8,Albania,2015,65-69,female,1510,70372,B,More Developed Regions,FALSE,73946
8,Albania,2015,70-74,female,1368,54171,B,More Developed Regions,FALSE,55690
8,Albania,2015,75+,female,4292,88179.99999999999,B,More Developed Regions,FALSE,90754
8,Albania,2015,Total,female,28253,1414128.0000000005,B,More Developed Regions,FALSE,1413086
12,Algeria,2019,0-4,both sexes,10340,5024616,B R,Less Developed Regions,FALSE,5041518
12,Algeria,2019,5-9,both sexes,7445,4508407,B R,Less Developed Regions,FALSE,4635972
12,Algeria,2019,10-14,both sexes,9223,3619848,B R,Less Developed Regions,FALSE,3821402
12,Algeria,2019,15-19,both sexes,13554,2846351,B R,Less Developed Regions,FALSE,2910345
12,Algeria,2019,20-24,both sexes,19106,3105968,B R,Less Developed Regions,FALSE,2999837
12,Algeria,2019,25-29,both sexes,23484,3653792,B R,Less Developed Regions,FALSE,3573878
12,Algeria,2019,30-34,both sexes,23896,3724233.9999999995,B R,Less Developed Regions,FALSE,3727719
